,Name,Price,Location,Mileage
113,2018 Ford fusion,"C$31,888","Surrey, BC",200K km
102,2022 Mitsubishi rvr es awc,"C$31,888","Vancouver, BC",55K km
58,2018 Audi a4,"C$31,995","Surrey, BC",222K km
108,2016 Ford f-150,"C$31,995",,300 km
71,2012 Toyota tacoma,"C$31,999","Surrey, BC",145K km
118,2021 Kia forte,"C$32,888","Vancouver, BC",25K km
122,2020 Nissan rogue,"C$32,900","Vancouver, BC",81K km
170,2007 Toyota land cruiser,"C$32,900","Surrey, BC",140K km
19,2016 Volkswagen golf,"C$33,995","Vancouver, BC",64K km
190,2017 Nissan altima,"C$34,900","New Westminster, BC",84K km
61,2003 Hummer h2,"C$34,995",,73K km
87,2017 Ram 1500 4WD Crew Cab 140.5 ST - free delivery within bc,C$342,,39K km
153,2020 Toyota rav4,"C$35,900","Surrey, BC",7K km
100,2019 Volkswagen tiguan,"C$35,980","Vancouver, BC",70K km
140,2007 Chevrolet corvette,"C$35,995","Vancouver, BC",24K km
139,2020 Nissan rogue,"C$35,999",,88K km
154,2018 Acura MDX,"C$36,500","Burnaby, BC",29K km
93,2015 BMW x5,"C$36,800","Port Coquitlam, BC",67K km
115,2018 Lexus is 300 awd,"C$36,900","Burnaby, BC",127K km
91,2019 Mercedes-Benz gla-class,"C$36,995","Vancouver, BC",136K km
233,2017 Ford fusion,"C$38,500","Vancouver, BC",109K km
161,2021 Ford expedition max king ranch,"C$38,900","Burnaby, BC",57K km
112,2021 Kia seltos sx turbo awd,"C$38,900","Anmore, BC",41K km
222,2010 Bentley continental,"C$38,980","Richmond, BC",57K km
209,2010 Dodge grand caravan,"C$38,995","Surrey, BC",181K km
69,2018 Volkswagen atlas,"C$39,497","Burnaby, BC",57K km
148,2017 Jeep grand cherokee,"C$39,500","Vancouver, BC",
208,2018 Acura RLX,"C$39,888","Port Coquitlam, BC",40K km
145,2017 Acura MDX,"C$39,899",,7.3K km
232,"2017 Acura MDX Elite AWD (71,503 kms)","C$39,900","Richmond, BC",
125,2016 Audi a7,"C$39,980","Vancouver, BC",49K km
52,2019 Dodge challenger,"C$39,980","Port Coquitlam, BC",17K km
124,2018 Dodge charger,"C$39,995","North Vancouver, BC",76K km
179,2017 Chevrolet malibu,"C$39,995","New Westminster, BC",64K km
103,2020 Acura tlx,"C$39,996","Port Coquitlam, BC",82K km
38,2020 Toyota prius prime! no gst!*📲andy*,"C$39,998","North Vancouver District, BC",64K km
34,2000 Slumber Queen ,"C$4,000","North Vancouver, BC",206K km
7,2013 Chevrolet sonic,"C$4,950","Coquitlam, BC",180K km
6,1997 Toyota corolla,"C$4,999","Coquitlam, BC",81K km
132,2020 Mazda cx-9,"C$40,295","Port Coquitlam, BC",13K km
236,2015 Chevrolet tahoe,"C$40,995","North Vancouver, BC",111K km
198,2010 GMC yukon,"C$40,997","Surrey, BC",247K km
55,2016 Lexus rx350,"C$40,998",,168K km
212,"2020 Ford f-150 4x4 xlt sport*2.7l v6 ecoboost*5.5 ft box*nav*64,000km - $49,900 ($0 down financing. all trades welcome! call jag today)","C$41,900","Surrey, BC",
216,"2013 Jeep Wrangler Sahara 4X4 MANUAL!!! (140,725 kms, no accidents)","C$41,998","Surrey, BC",
168,2006 Chevrolet express 2500,"C$41,998","Surrey, BC",
219,2019 Audi q8,"C$42,557","Port Coquitlam, BC",14K km
146,2022 MINI cooper,"C$42,895","North Vancouver, BC",71K km
228,2018 Toyota sienna,"C$42,980","Port Coquitlam, BC",32K km
237,2017 GMC canyon,"C$42,998","New Westminster, BC",104K km
151,2014 Chrysler 300,"C$43,995","Vancouver, BC",245K km
221,2017 Infiniti q50,C$435,"Surrey, BC",51K km
218,2023 Mitsubishi eclipse,"C$44,500","Surrey, BC",300 km
126,2018 Audi q7,"C$44,900","Port Coquitlam, BC",
79,2017 Lexus rx350,"C$45,500","Burnaby, BC",43K km
81,2017 Lexus rx350 awd just 62.865 kms,"C$45,800","New Westminster, BC",
106,2019 Mercedes-Benz glc300,"C$45,959","Vancouver, BC",166K km
155,2018 Kia niro,"C$45,980","Surrey, BC",88K km
120,"2020 Infiniti QX60 - 7 seat AWD (29,353 kms, no accidents)","C$46,900","Port Coquitlam, BC",68K km
83,2018 Audi s5,"C$46,900","Port Coquitlam, BC",15K km
160,2019 Audi q5,"C$46,999","Vancouver, BC",42K km
141,2020 Acura RDX,"C$47,799","New Westminster, BC",
143,2015 Mercedes-Benz 2015 ml 63 amg,"C$48,888","North Vancouver, BC",118K km
111,2018 Audi TT,"C$48,900","Surrey, BC",18K km
184,2014 Kia rondo,"C$48,995","Vancouver, BC",128K km
130,2021 Acura rdx elite,"C$48,996","Vancouver, BC",13K km
